University,City,Status,Established,Rector
PAMUKKALE UNIVERSITY,DENİZLİ,STATE,1992,PROF.DR. AHMET KUTLUHAN
PIRI REIS UNIVERSITY,İSTANBUL,FOUNDATION,2008,
RECEP TAYYIP ERDOGAN UNIVERSITY,RİZE,STATE,2006,PROF.DR. YUSUF YILMAZ
SABANCI UNIVERSITY,İSTANBUL,FOUNDATION,1996,PROF.DR. YUSUF LEBLEBİCİ
UNIVERSITY OF HEALTH SCIENCES,İSTANBUL,STATE,2015,PROF.DR. CEVDET ERDÖL
SAKARYA UNIVERSITY OF APPLIED SCIENCES,SAKARYA,STATE,2018,PROF.DR. MEHMET SARIBIYIK
SAKARYA UNIVERSITY,SAKARYA,STATE,1992,PROF.DR. HAMZA AL
SAMSUN UNIVERSITY,SAMSUN,STATE,2018,PROF.DR. MAHMUT AYDIN
SANKO UNIVERSITY,GAZİANTEP,FOUNDATION,2013,PROF.DR. GÜNER DAĞLI
SELCUK UNIVERSITY,KONYA,STATE,1975,PROF.DR. METİN AKSOY
SIIRT UNIVERSITY,SİİRT,STATE,2007,PROF.DR. NİHAT ŞINDAK
SINOP UNIVERSITY,SİNOP,STATE,2007,PROF.DR. NİHAT DALGIN
SİVAS UNIVERSITY OF SCIENCE AND TECHNOLOGY,SİVAS,STATE,2018,PROF.DR. MEHMET KUL
SIVAS CUMHURIYET UNIVERSITY,SİVAS,STATE,1974,PROF.DR. ALİM YILDIZ
SULEYMAN DEMIREL UNIVERSITY,ISPARTA,STATE,1992,PROF.DR. İLKER HÜSEYİN ÇARIKÇI
SIRNAK UNIVERSITY,ŞIRNAK,STATE,2008,
TARSUS UNIVERSITY,MERSİN,STATE,2018,PROF.DR. ORHAN AYDIN
TED UNIVERSITY,ANKARA,FOUNDATION,2009,PROF.DR. İHSAN SABUNCUOĞLU
TEKIRDAG NAMIK KEMAL UNIVERSITY,TEKİRDAĞ,STATE,2006,PROF.DR. MÜMİN ŞAHİN
TOBB UNIVERSITY OF ECONOMICS AND TECHNOLOGY,ANKARA,FOUNDATION,2003,PROF.DR. YUSUF SARINAY
TOKAT GAZIOSMANPASA UNIVERSITY,TOKAT,STATE,1992,PROF.DR. BÜNYAMİN ŞAHİN
TOROS UNIVERSITY,MERSİN,FOUNDATION,2009,PROF.DR. ÖMER ARIÖZ
TRABZON UNIVERSITY,TRABZON,STATE,2018,PROF.DR. EMİN AŞIKKUTLU
